Title,Authors,Abstract,Categories
"Title:
          A Hassle-free Algorithm for Private Learning in Practice: Don't Use Tree Aggregation, Use BLTs","H. Brendan McMahan, Zheng Xu, Yanxiang Zhang",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Visual Agents as Fast and Slow Thinkers","Guangyan Sun, Mingyu Jin, Zhenting Wang, Cheng-Long Wang, Siqi Ma, Qifan Wang, Ying Nian Wu, Yongfeng Zhang, Dongfang Liu",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Stochastic Bandits Robust to Adversarial Attacks","Xuchuang Wang, Jinhang Zuo, Xutong Liu, John C.S. Lui, Mohammad Hajiesmaili",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Entropy Coding of Unordered Data Structures","Julius Kunze, Daniel Severo, Giulio Zani, Jan-Willem van de Meent, James Townsend",N/A,"Subjects:
Machine Learning (cs.LG); Data Structures and Algorithms (cs.DS); Information Theory (cs.IT)"
"Title:
          LEVIS: Large Exact Verifiable Input Spaces for Neural Networks","Mohamad Fares El Hajj Chehade, Brian Wesley Bell, Russell Bent, Hao Zhu, Wenting Li",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Optimal Symmetries in Binary Classification","Vishal S. Ngairangbam, Michael Spannowsky",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Data Analysis, Statistics and Probability (physics.data-an); Machine Learning (stat.ML)"
"Title:
          An Empirical Examination of Balancing Strategy for Counterfactual Estimation on Time Series","Qiang Huang, Chuizheng Meng, Defu Cao, Biwei Huang, Yi Chang, Yan Liu",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          CAT: Caution Aware Transfer in Reinforcement Learning via Distributional Risk","Mohamad Fares El Hajj Chehade, Amrit Singh Bedi, Amy Zhang, Hao Zhu",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Constructing Domain-Specific Evaluation Sets for LLM-as-a-judge","Ravi Raju, Swayambhoo Jain, Bo Li, Jonathan Li, Urmish Thakkar",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          Representation Learning of Geometric Trees","Zheng Zhang, Allen Zhang, Ruth Nelson, Giorgio Ascoli, Liang Zhao",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Neighbor Overlay-Induced Graph Attention Network","Tiqiao Wei, Ye Yuan",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          NEAR: A Training-Free Pre-Estimator of Machine Learning Model Performance","Raphael T. Husistein, Markus Reiher, Marco Eckhoff",N/A,"Subjects:
Machine Learning (cs.LG); Disordered Systems and Neural Networks (cond-mat.dis-nn); Chemical Physics (physics.chem-ph); Data Analysis, Statistics and Probability (physics.data-an)"
"Title:
          Speckle Noise Analysis for Synthetic Aperture Radar (SAR) Space Data","Sanjjushri Varshini R, Rohith Mahadevan, Bagiya Lakshmi S, Mathivanan Periasamy, Raja CSP Raman, Lokesh M",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          SYMPOL: Symbolic Tree-Based On-Policy Reinforcement Learning","Sascha Marton, Tim Grams, Florian Vogt, Stefan Lüdtke, Christian Bartelt, Heiner Stuckenschmidt",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          SE-SGformer: A Self-Explainable Signed Graph Transformer for Link Sign Prediction","Lu Li, Jiale Liu, Xingyu Ji, Maojun Wang, Zeyu Zhang",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Beyond KAN: Introducing KarSein for Adaptive High-Order Feature Interaction Modeling in CTR Prediction","Yunxiao Shi, Wujiang Wu, Mingyu Jin, Haimin Zhang, Qiang Wu, Yongfeng Zhang, Min Xu",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Information Retrieval (cs.IR)"
"Title:
          Beam Prediction based on Large Language Models","Yucheng Sheng, Kai Huang, Le Liang, Peng Liu, Shi Jin, Geoffrey Ye Li",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          Efficient Multi-Policy Evaluation for Reinforcement Learning","Shuze Liu, Yuxin Chen, Shangtong Zhang",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          RBLA: Rank-Based-LoRA-Aggregation for Fine-tuning Heterogeneous Models in FLaaS","Shuaijun Chen, Omid Tavallaie, Niousha Nazemi, Albert Y. Zomaya",N/A,"Subjects:
Machine Learning (cs.LG); Distributed, Parallel, and Cluster Computing (cs.DC)"
"Title:
          Explore-then-Commit Algorithms for Decentralized Two-Sided Matching Markets","Tejas Pagare, Avishek Ghosh",N/A,"Subjects:
Machine Learning (cs.LG); Computer Science and Game Theory (cs.GT); General Economics (econ.GN); Machine Learning (stat.ML)"
"Title:
          Can Large Language Models Improve the Adversarial Robustness of Graph Neural Networks?","Zhongjian Zhang, Xiao Wang, Huichi Zhou, Yue Yu, Mengmei Zhang, Cheng Yang, Chuan Shi",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computers and Society (cs.CY); Social and Information Networks (cs.SI)"
"Title:
          Research on Personalized Compression Algorithm for Pre-trained Models Based on Homomorphic Entropy Increase","Yicong Li, Xing Guo, Haohua Du",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          A Mean Field Ansatz for Zero-Shot Weight Transfer","Xingyuan Chen, Wenwei Kuang, Lei Deng, Wei Han, Bo Bai, Goncalo dos Reis",N/A,"Subjects:
Machine Learning (cs.LG); Numerical Analysis (math.NA); Probability (math.PR)"
"Title:
          Neural Reward Machines","Elena Umili, Francesco Argenziano, Roberto Capobianco",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          A Multivocal Literature Review on Privacy and Fairness in Federated Learning","Beatrice Balbierer, Lukas Heinlein, Domenique Zipperling, Niklas Kühl",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          Mitigating Backdoor Attacks in Federated Learning via Flipping Weight Updates of Low-Activation Input Neurons","Binbin Ding, Penghui Yang, Zeqing Ge, Shengjun Huang",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          TextCAVs: Debugging vision models using text","Angus Nicolson, Yarin Gal, J. Alison Noble",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC)"
"Title:
          The Power of Bias: Optimizing Client Selection in Federated Learning with Heterogeneous Differential Privacy","Jiating Ma, Yipeng Zhou, Qi Li, Quan Z. Sheng, Laizhong Cui, Jiangchuan Liu",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Navigating Uncertainties in Machine Learning for Structural Dynamics: A Comprehensive Review of Probabilistic and Non-Probabilistic Approaches in Forward and Inverse Problems","Wang-Ji Yan (1 and 2), Lin-Feng Mei (1), Jiang Mo (1), Costas Papadimitriou (3), Ka-Veng Yuen (1 and 2), Michael Beer (4,5, and 6) ((1) State Key Laboratory of Internet of Things for Smart City and Department of Civil and Environmental Engineering, University of Macau, (2) Guangdong-Hong Kong-Macau Joint Laboratory for Smart Cities, China, (3) Department of Mechanical Engineering, University of Thessaly, (4) Leibniz University Hannover, Institute for Risk and Reliability, (5) Department of Civil and Environmental Engineering, University of Liverpool, (6) International Joint Research Center for Resilient Infrastructure &amp; International Joint Research Center for Engineering Reliability and Stochastic Mechanics, Tongji University)",N/A,"Subjects:
Machine Learning (cs.LG); Dynamical Systems (math.DS)"
"Title:
          A survey on secure decentralized optimization and learning","Changxin Liu, Nicola Bastianello, Wei Huo, Yang Shi, Karl H. Johansson",N/A,"Subjects:
Machine Learning (cs.LG); Optimization and Control (math.OC)"
"Title:
          DeepDFA: Automata Learning through Neural Probabilistic Relaxations","Elena Umili, Roberto Capobianco",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          RadioDiff: An Effective Generative Diffusion Model for Sampling-Free Dynamic Radio Map Construction","Xiucheng Wang, Keda Tao, Nan Cheng, Zhisheng Yin, Zan Li, Yuan Zhang, Xuemin Shen",N/A,"Subjects:
Machine Learning (cs.LG); Systems and Control (eess.SY)"
"Title:
          GrassNet: State Space Model Meets Graph Neural Network","Gongpei Zhao, Tao Wang, Yi Jin, Congyan Lang, Yidong Li, Haibin Ling",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          S$^3$Attention: Improving Long Sequence Attention with Smoothed Skeleton Sketching","Xue Wang, Tian Zhou, Jianqing Zhu, Jialin Liu, Kun Yuan, Tao Yao, Wotao Yin, Rong Jin, HanQin Cai",N/A,"Subjects:
Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Image and Video Processing (eess.IV); Machine Learning (stat.ML)"
"Title:
          ABQ-LLM: Arbitrary-Bit Quantized Inference Acceleration for Large Language Models","Chao Zeng, Songwei Liu, Yusheng Xie, Hong Liu, Xiaojian Wang, Miao Wei, Shu Yang, Fangmin Chen, Xing Mei",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Detecting Unsuccessful Students in Cybersecurity Exercises in Two Different Learning Environments","Valdemar Švábenský, Kristián Tkáčik, Aubrey Birdwell, Richard Weiss, Ryan S. Baker, Pavel Čeleda, Jan Vykopal, Jens Mache, Ankur Chattopadhyay",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Computers and Society (cs.CY)"
"Title:
          Inverse design with conditional cascaded diffusion models","Milad Habibi, Mark Fuge",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Mitigating Degree Bias in Signed Graph Neural Networks","Fang He, Jinhai Deng, Ruizhan Xue, Maojun Wang, Zeyu Zhang",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          The Limitations of Model Retraining in the Face of Performativity","Anmol Kabra, Kumar Kshitij Patel",N/A,"Subjects:
Machine Learning (cs.LG); Computer Science and Game Theory (cs.GT)"
"Title:
          Fishers Harvest Parallel Unlearning in Inherited Model Networks","Xiao Liu, Mingyuan Li, Xu Wang, Guangsheng Yu, Wei Ni, Lixiang Li, Haipeng Peng, Renping Liu",N/A,"Subjects:
Machine Learning (cs.LG); Machine Learning (stat.ML)"
"Title:
          Adversarial Contrastive Learning Based Physics-Informed Temporal Networks for Cuffless Blood Pressure Estimation","Rui Wang, Mengshi Qi, Yingxia Shao, Anfu Zhou, Huadong Ma",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Signal Processing (eess.SP)"
"Title:
          Context-Aware Assistant Selection for Improved Inference Acceleration with Large Language Models","Jerry Huang, Prasanna Parthasarathi, Mehdi Rezagholizadeh, Sarath Chandar",N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI)"
"Title:
          Exploring Cross-model Neuronal Correlations in the Context of Predicting Model Performance and Generalizability","Haniyeh Ehsani Oskouie, Lionel Levine, Majid Sarrafzadeh",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Lifelong Reinforcement Learning via Neuromodulation","Sebastian Lee, Samuel Liebana Garcia, Claudia Clopath, Will Dabney",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          D5RL: Diverse Datasets for Data-Driven Deep Reinforcement Learning","Rafael Rafailov, Kyle Hatch, Anikait Singh, Laura Smith, Aviral Kumar, Ilya Kostrikov, Philippe Hansen-Estruch, Victor Kolev, Philip Ball, Jiajun Wu, Chelsea Finn, Sergey Levine",N/A,"Subjects:
Machine Learning (cs.LG); Robotics (cs.RO)"
"Title:
          Random Gradient Masking as a Defensive Measure to Deep Leakage in Federated Learning","Joon Kim, Sejin Park",N/A,"Subjects:
Machine Learning (cs.LG); Cryptography and Security (cs.CR)"
"Title:
          An Efficient and Explainable Transformer-Based Few-Shot Learning for Modeling Electricity Consumption Profiles Across Thousands of Domains","Weijie Xia, Gao Peng, Chenguang Wang, Peter Palensky, Eric Pauwels, Pedro P. Vergara",N/A,"Subjects:
Machine Learning (cs.LG); Systems and Control (eess.SY)"
"Title:
          METR: Image Watermarking with Large Number of Unique Messages","Alexander Varlamov, Daria Diatlova, Egor Spirin",N/A,"Subjects:
Machine Learning (cs.LG); Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV)"
"Title:
          Activation Space Selectable Kolmogorov-Arnold Networks","Zhuoqin Yang, Jiansong Zhang, Xiaoling Luo, Zheng Lu, Linlin Shen",N/A,"Subjects:
Machine Learning (cs.LG)"
"Title:
          Training Large-Scale Optical Neural Networks with Two-Pass Forward Propagation","Amirreza Ahmadnejad, Somayyeh Koohi",N/A,"Subjects:
Machine Learning (cs.LG); Optics (physics.optics)"
"Title:
          Graph representations of 3D data for machine learning",Tomasz Prytuła,N/A,"Subjects:
Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)"
"Title:
          Accelerating Giant Impact Simulations with Machine Learning","Caleb Lammers, Miles Cranmer, Sam Hadden, Shirley Ho, Norman Murray, Daniel Tamayo",N/A,"Subjects:
Earth and Planetary Astrophysics (astro-ph.EP); Instrumentation and Methods for Astrophysics (astro-ph.IM); Machine Learning (cs.LG)"
"Title:
          PEDAL: Enhancing Greedy Decoding with Large Language Models using Diverse Exemplars",Sumanth Prabhu,N/A,"Subjects:
Computation and Language (cs.CL); Machine Learning (cs.LG)"
"Title:
          GeoTransformer: Enhancing Urban Forecasting with Geospatial Attention Mechanisms","Yuhao Jia, Zile Wu, Shengao Yi, Yifei Sun",N/A,"Subjects:
Artificial Intelligence (cs.AI); Machine Learning (cs.LG)"
"Title:
          HistoGym: A Reinforcement Learning Environment for Histopathological Image Analysis","Zhi-Bo Liu, Xiaobo Pang, Jizhao Wang, Shuai Liu, Chen Li",N/A,"Subjects:
Image and Video Processing (eess.IV); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)"
"Title:
          Shapley Marginal Surplus for Strong Models","Daniel de Marchi, Michael Kosorok, Scott de Marchi",N/A,"Subjects:
Machine Learning (stat.ML); Machine Learning (cs.LG)"
"Title:
          A Transparency Paradox? Investigating the Impact of Explanation Specificity and Autonomous Vehicle Perceptual Inaccuracies on Passengers","Daniel Omeiza, Raunak Bhattacharyya, Marina Jirotka, Nick Hawes, Lars Kunze",N/A,"Subjects:
Human-Computer Interaction (cs.HC); Artificial Intelligence (cs.AI); Computers and Society (cs.CY); Machine Learning (cs.LG); Robotics (cs.RO)"
"Title:
          Pessimistic Iterative Planning for Robust POMDPs","Maris F. L. Galesloot, Marnix Suilen, Thiago D. Simão, Steven Carr, Matthijs T. J. Spaan, Ufuk Topcu, Nils Jansen",N/A,"Subjects:
Artificial Intelligence (cs.AI); Machine Learning (cs.LG)"
"Title:
          ML Study of MaliciousTransactions in Ethereum",Natan Katz,N/A,"Subjects:
Cryptography and Security (cs.CR); Machine Learning (cs.LG)"
"Title:
          Turning Trash into Treasure: Accelerating Inference of Large Language Models with Token Recycling","Xianzhen Luo, Yixuan Wang, Qingfu Zhu, Zhiming Zhang, Xuanyu Zhang, Qing Yang, Dongliang Xu, Wanxiang Che",N/A,"Subjects:
Computation and Language (cs.CL); Machine Learning (cs.LG)"
"Title:
          Misclassification excess risk bounds for PAC-Bayesian classification via convexified loss",The Tien Mai,N/A,"Subjects:
Machine Learning (stat.ML); Machine Learning (cs.LG)"
"Title:
          A new perspective on Bayesian Operational Modal Analysis","Brandon J. O'Connell, Max D. Champneys, Timothy J. Rogers",N/A,"Subjects:
Machine Learning (stat.ML); Machine Learning (cs.LG); Systems and Control (eess.SY)"
"Title:
          MIA-Tuner: Adapting Large Language Models as Pre-training Text Detector","Wenjie Fu, Huandong Wang, Chen Gao, Guanghua Liu, Yong Li, Tao Jiang",N/A,"Subjects:
Computation and Language (cs.CL); Cryptography and Security (cs.CR); Machine Learning (cs.LG)"
"Title:
          Modeling the Neonatal Brain Development Using Implicit Neural Representations","Florentin Bieder, Paul Friedrich, Hélène Corbaz, Alicia Durrer, Julia Wolleb, Philippe C. Cattin",N/A,"Subjects:
Image and Video Processing (eess.IV); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)"
"Title:
          Solving The Quantum Many-Body Hamiltonian Learning Problem with Neural Differential Equations","Timothy Heightman, Edward Jiang, Antonio Acín",N/A,"Subjects:
Quantum Physics (quant-ph); Strongly Correlated Electrons (cond-mat.str-el); Machine Learning (cs.LG)"
"Title:
          Generative Dataset Distillation Based on Diffusion Model","Duo Su, Junjie Hou, Guang Li, Ren Togo, Rui Song, Takahiro Ogawa, Miki Haseyama",N/A,"Subjects:
Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)"
"Title:
          A Mechanistic Interpretation of Syllogistic Reasoning in Auto-Regressive Language Models","Geonhee Kim, Marco Valentino, André Freitas",N/A,"Subjects:
Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)"
"Title:
          OptDist: Learning Optimal Distribution for Customer Lifetime Value Prediction","Yunpeng Weng, Xing Tang, Zhenhao Xu, Fuyuan Lyu, Dugang Liu, Zexu Sun, Xiuqiang He",N/A,"Subjects:
Information Retrieval (cs.IR); Machine Learning (cs.LG)"
"Title:
          S-RAF: A Simulation-Based Robustness Assessment Framework for Responsible Autonomous Driving","Daniel Omeiza, Pratik Somaiya, Jo-Ann Pattinson, Carolyn Ten-Holter, Jack Stilgoe, Marina Jirotka, Lars Kunze",N/A,"Subjects:
Robotics (cs.RO); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Computers and Society (cs.CY); Machine Learning (cs.LG)"
